2.96728e-07	   1.48873	         -
3.0215e-07	   1.48719	         -
3.30259e-07	   1.48053	         -
3.34148e-07	   1.47976	         -
3.40365e-07	   1.47858	         -
3.4662e-07	   1.47746	         -
3.61051e-07	   1.47512	         -
3.65015e-07	   1.47453	         -
4.04656e-07	   1.46961	         -
4.35835e-07	   1.46669	         -
4.67816e-07	   1.46429	         -
4.86133e-07	   1.46313	         -
5.08582e-07	   1.46187	         -
5.46074e-07	   1.46008	         -
5.76959e-07	   1.45885	         -
5.79065e-07	   1.45877	         -
5.87561e-07	   1.45847	         -
5.89262e-07	   1.45841	         -
6.43847e-07	   1.45671	         -
6.56272e-07	   1.45637	         -
6.67815e-07	   1.45608	         -
7.06519e-07	   1.45515	         -
8.52111e-07	   1.45248	         -
8.9435e-07	   1.45185	         -
1.000e-6	-	2.5e-8
1.01398e-06	   1.45025	         -
1.08297e-06	   1.44941	         -
1.12866e-06	   1.44888	         -
1.3622e-06	   1.44621	         -
1.39506e-06	   1.44584	         -
1.4695e-06	   1.44497	         -
1.52952e-06	   1.44427	         -
1.550e-6	-	2.4669016E-9
1.6606e-06	   1.44267	         -
 1.681e-06	   1.44241	         -
1.6932e-06	   1.44226	         -
1.70913e-06	   1.44205	         -
1.81307e-06	   1.44069	         -
1.97009e-06	   1.43851	         -
2.0581e-06	   1.43722	         -
2.1526e-06	   1.43576	         -
2.32542e-06	   1.43292	         -
2.4374e-06	   1.43095	         -
3.2439e-06	   1.41314	         -
3.2668e-06	   1.41253	         -
3.3026e-06	   1.41155	         -
 3.422e-06	   1.40819	         -
 3.507e-06	   1.40568	         -
3.5564e-06	   1.40418	         -
 3.636e-06	         -	  2.25e-05
 3.704e-06	         -	  3.39e-05
3.7067e-06	   1.39936	         -
 3.774e-06	         -	  3.93e-05
 3.846e-06	     1.395	  4.96e-05
 3.922e-06	         -	  5.18e-05
     4e-06	         -	  5.79e-05
 4.082e-06	         -	  7.99e-05
 4.167e-06	     1.383	  0.000107
 4.255e-06	         -	  0.000132
 4.348e-06	         -	  0.000213
 4.396e-06	         -	  0.000265
 4.444e-06	         -	  0.000284
 4.494e-06	         -	  0.000284
 4.545e-06	     1.365	  0.000256
 4.651e-06	         -	  0.000262
 4.762e-06	         -	  0.000485
 4.878e-06	         -	   0.00182
     5e-06	     1.342	   0.00398
 5.063e-06	         -	   0.00512
 5.128e-06	         -	   0.00518
 5.263e-06	         -	   0.00549
 5.333e-06	         -	   0.00569
